alpha,padding_x,QRSR,QR_baseline,QRSR_vs_baseline,DRSR,DR_greedy,DRSR_vs_greedy
0,⊥,63.08,3.85,16.40,73.08,21.24,3.44
0,2,35.00,3.85,9.10,42.31,21.24,1.99
0,4,23.46,3.85,6.10,11.54,21.24,0.54
0,8,15.77,3.85,4.10,11.54,21.24,0.54
0,16,15.77,3.85,4.10,11.54,21.24,0.54
1,⊥,63.08,3.85,16.40,73.08,21.24,3.44
1,2,35.00,3.85,9.10,42.31,21.24,1.99
1,4,23.46,3.85,6.10,11.54,21.24,0.54
1,8,15.77,3.85,4.10,11.54,21.24,0.54
1,16,15.77,3.85,4.10,11.54,21.24,0.54
2,⊥,63.08,3.85,16.40,73.08,21.24,3.44
2,2,35.00,3.85,9.10,42.31,21.24,1.99
2,4,23.46,3.85,6.10,11.54,21.24,0.54
2,8,15.77,3.85,4.10,11.54,21.24,0.54
2,16,15.77,3.85,4.10,11.54,21.24,0.54
3,⊥,63.08,3.85,16.40,73.08,21.24,3.44
3,2,35.00,3.85,9.10,42.31,21.24,1.99
3,4,23.46,3.85,6.10,11.54,21.24,0.54
3,8,15.77,3.85,4.10,11.54,21.24,0.54
3,16,15.77,3.85,4.10,11.54,21.24,0.54
